GISJOIN,white_pct,black_pct,hispanic_pct
G0400130422209,51.18,8.97,29.62
G0400130941100,0.0,0.0,0.0
G0400130217700,70.7,1.6,19.21
G0400130319600,62.12,3.98,20.52
G0400130421901,35.16,1.63,60.34
G0400130422501,60.88,4.49,29.09
G0400130422502,61.17,5.66,30.62
G0400130422210,65.57,2.16,20.59
G0400130422211,71.19,0.16,16.83
G0400130422212,79.54,1.36,11.75
G0400130422213,57.85,0.79,28.53
G0400130422216,57.17,9.27,15.89
G0400130422218,65.56,6.51,22.06
G0400130422219,65.79,2.79,20.78
G0400130422220,80.13,1.25,9.13
G0400130422301,27.86,1.48,64.96
G0400130422302,55.06,0.74,32.73
G0400050001201,80.36,0.28,8.67
G0400050000301,40.81,0.0,32.58
G0400050980200,0.0,0.0,0.0
G0400050000602,80.68,1.83,8.36
G0400050001103,55.67,0.31,25.3
G0400130422222,67.68,0.85,18.51
G0400130422622,73.5,0.73,18.77
G0400130216830,81.4,4.09,9.53
G0400130216833,75.24,1.37,5.1
G0400130216837,75.39,4.7,7.47
G0400130216838,73.07,1.5,9.86
G0400190004115,14.71,4.0,79.8
G0400130980500,0.0,0.0,0.0
G0400130980400,75.0,0.0,25.0
G0400130522904,30.91,10.73,51.74
G0400130610700,78.32,0.58,5.17
G0400130611200,73.86,2.12,10.24
G0400130611700,75.36,1.57,13.1
G0400130061011,35.78,7.17,44.83
G0400130061013,47.32,8.59,26.3
G0400130061015,45.95,9.16,41.97
G0400130061018,96.21,1.68,1.28
G0400130422639,98.82,0.39,0.44
G0400130104301,58.1,1.07,38.7
G0400130104302,50.77,13.86,26.58
G0400130106501,76.24,3.62,14.5
G0400130110801,35.1,8.79,48.34
G0400190004640,76.69,1.81,10.58
G0400130040525,94.02,0.26,4.26
G0400130040526,96.46,0.35,2.2
G0400130040527,82.37,2.63,8.69
G0400130060801,30.59,1.09,66.4
G0400130422624,95.19,0.68,2.86
G0400190005300,70.35,2.77,15.46
G0400190004073,61.85,3.79,22.99
G0400190004332,98.22,0.05,1.01
G0400190004422,47.27,2.15,47.74
G0400190004118,24.55,9.5,59.81
G0400130422625,60.2,5.91,32.45
G0400130422626,80.41,8.7,6.87
G0400130422627,67.65,2.25,27.38
G0400130422628,53.53,0.67,32.39
G0400130422629,82.16,0.7,13.64
G0400130422630,61.6,0.0,31.35
G0400130422633,65.55,1.08,18.08
G0400130216839,86.02,0.93,5.18
G0400130216840,78.25,3.59,10.66
G0400130216841,82.47,0.0,10.02
G0400130216842,85.5,0.0,7.25
G0400130216844,83.45,2.78,3.83
G0400130216845,63.49,0.43,32.06
G0400130612700,92.44,1.27,2.89
G0400130612800,83.6,2.3,8.73
G0400130613300,83.87,0.18,9.51
G0400130613800,88.39,0.0,5.1
G0400130613900,74.77,1.68,9.57
G0400130614000,83.95,1.83,10.43
G0400270010910,88.24,0.0,11.1
G0400270011108,57.82,3.27,34.88
G0400130060802,41.14,8.64,32.48
G0400130060901,32.67,12.57,41.58
G0400130060902,17.96,7.45,74.59
G0400130060903,29.25,10.41,55.75
G0400130061010,70.13,0.9,17.12
G0400130612200,74.67,2.02,11.84
G0400130216850,77.83,4.01,7.83
G0400130216852,82.52,2.46,9.08
G0400130216853,71.48,1.99,13.54
G0400130615700,79.14,2.71,8.14
G0400230966402,2.39,0.0,97.61
G0400230966000,77.71,0.48,17.37
G0400230966101,51.83,0.0,48.17
G0400230966401,1.72,0.0,98.2
G0400130061032,70.3,8.65,18.22
G0400130061033,69.65,5.52,19.74
G0400130061035,53.53,13.77,29.38
G0400130061037,62.93,6.2,21.1
G0400130061038,53.49,1.86,35.07
G0400130061039,64.64,7.99,17.61
G0400130061040,49.79,15.94,27.21
G0400130061041,34.73,5.23,55.54
G0400130061042,64.44,0.78,28.23
G0400130110902,45.14,10.42,36.99
G0400130113502,2.37,19.29,75.97
G0400130611000,74.19,0.58,12.58
G0400190004628,70.2,2.1,19.28
G0400190004620,74.96,1.04,20.4
G0400190004437,37.74,3.94,49.02
G0400190004430,46.64,3.46,44.23
G0400130611100,72.62,5.39,8.16
G0400130611400,85.27,2.04,3.13
G0400130614100,64.96,1.34,12.84
G0400130614200,77.17,4.93,9.54
G0400130614300,78.14,0.86,6.78
G0400130614400,71.63,2.96,17.26
G0400130615300,76.85,0.0,16.68
G0400130615600,91.63,0.0,4.83
G0400130061020,46.16,6.74,29.5
G0400130061021,40.16,10.77,38.46
G0400130061026,60.55,4.86,27.18
G0400130061027,75.47,7.68,14.58
G0400130061028,82.62,3.18,8.69
G0400130116800,26.2,2.13,69.4
G0400130116900,9.49,1.94,85.72
G0400130040514,96.43,0.58,2.27
G0400130040530,65.84,11.4,13.5
G0400130050701,42.23,9.95,43.05
G0400230966200,1.53,1.07,95.54
G0400130050702,35.06,3.19,59.66
G0400130611500,74.07,0.49,7.79
G0400130611600,70.69,0.0,20.41
G0400130611900,58.26,10.87,19.38
G0400130612000,70.5,4.81,6.69
G0400030001801,68.14,1.86,21.51
G0400030000503,32.95,14.62,44.95
G0400130061024,52.54,2.7,32.74
G0400130117200,7.4,0.0,91.49
G0400130420503,34.29,10.22,47.79
G0400130421304,45.01,10.65,25.87
G0400130071516,72.26,1.57,21.0
G0400130071517,67.9,2.34,18.98
G0400130420107,88.39,2.13,5.68
G0400130420108,86.13,0.0,9.73
G0400130612900,85.1,0.18,10.41
G0400130613200,84.82,0.0,10.84
G0400130613400,86.81,1.98,7.05
G0400130061044,58.89,10.87,24.8
G0400130061045,67.27,6.05,24.85
G0400130061046,41.91,5.96,42.77
G0400130061047,43.74,5.1,35.45
G0400130061402,9.3,4.98,79.17
G0400130071515,70.56,6.16,16.25
G0400130071701,60.97,6.09,24.15
G0400130071702,86.88,3.41,4.5
G0400130071912,37.26,1.15,55.55
G0400130071913,57.58,8.85,27.69
G0400130071914,47.05,1.32,46.03
G0400130071915,55.02,4.4,38.29
G0400130082016,26.0,14.96,45.45
G0400130082019,41.29,9.63,31.28
G0400130082020,47.74,8.72,34.77
G0400130082021,30.7,10.81,52.96
G0400130613500,87.71,0.78,3.21
G0400130613700,81.14,2.85,10.38
G0400130420109,79.95,3.8,10.21
G0400130420111,69.61,0.92,26.74
G0400130082022,31.7,10.85,46.6
G0400130082023,38.41,3.99,47.08
G0400130082024,35.05,7.28,48.64
G0400130082025,45.54,6.3,41.36
G0400130082026,42.31,13.1,39.82
G0400130082027,22.87,22.53,46.62
G0400130082028,9.13,8.19,78.57
G0400130082208,15.65,5.35,69.24
G0400130092401,36.09,12.26,47.7
G0400130092402,40.68,10.91,41.59
G0400130092715,18.95,4.15,66.44
G0400130092716,21.46,3.87,64.91
G0400130615800,75.35,1.01,10.56
G0400130615900,73.85,6.97,6.39
G0400130616000,70.32,2.33,12.96
G0400130616200,73.36,1.27,21.63
G0400130420112,79.4,1.5,17.74
G0400130420114,48.37,0.16,47.79
G0400130420216,80.83,2.35,12.66
G0400130420401,36.57,5.55,52.24
G0400130420504,61.35,5.22,23.07
G0400130614500,57.4,0.69,34.06
G0400130614900,70.53,6.18,10.09
G0400030001802,63.98,3.83,20.36
G0400210000603,86.16,0.12,8.62
G0400130082007,22.13,3.72,73.39
G0400130071911,61.83,1.64,27.0
G0400130082008,9.73,2.35,83.38
G0400130082009,15.24,2.41,76.98
G0400130092713,28.19,4.17,55.73
G0400130092900,12.03,8.15,77.92
G0400130104222,53.84,8.49,26.76
G0400130104223,65.79,0.0,24.93
G0400130104218,65.34,2.36,29.69
G0400130104224,60.27,3.81,25.37
G0400190004510,32.28,7.17,41.54
G0400190004074,60.02,2.16,30.38
G0400130104225,85.77,0.66,9.03
G0400130104227,64.01,2.98,23.32
G0400130104219,74.29,4.84,13.18
G0400130104221,68.28,3.53,20.51
G0400130104801,66.51,4.93,14.67
G0400050000700,60.1,2.13,26.49
G0400050001500,82.69,0.14,7.68
G0400050000100,83.14,1.14,11.34
G0400050000500,59.15,0.0,28.07
G0400210000317,93.1,0.0,2.3
G0400210002200,52.19,0.0,41.61
G0400210000211,68.13,2.78,21.47
G0400210001701,61.39,0.0,34.11
G0400210000319,92.44,0.0,7.09
G0400210000311,72.06,0.0,25.37
G0400050000800,55.52,2.3,20.92
G0400050001700,53.15,2.65,37.03
G0400250001801,86.21,0.48,7.92
G0400250001403,91.05,0.18,7.85
G0400250000608,72.88,0.0,21.11
G0400250001002,85.98,1.22,7.97
G0400250000609,62.4,2.08,33.2
G0400250001402,84.08,0.0,10.66
G0400250001602,72.78,0.1,22.57
G0400250001601,62.79,0.93,22.14
G0400250001703,77.12,1.3,20.2
G0400250002002,74.15,0.78,17.1
G0400250001701,85.58,2.24,7.84
G0400250000604,79.3,0.21,15.18
G0400250002001,78.35,0.99,16.16
G0400250002003,65.03,1.65,29.36
G0400250001401,80.33,1.18,17.92
G0400250002100,72.98,0.0,21.38
G0400130116707,74.92,0.0,19.4
G0400130116708,72.99,2.98,16.11
G0400130116709,42.61,15.46,30.16
G0400130116710,82.18,0.7,7.71
G0400130116711,49.08,14.97,25.88
G0400130116712,46.87,12.15,24.91
G0400130109604,6.85,4.4,85.99
G0400130523104,42.47,4.34,33.33
G0400130116500,8.97,11.6,79.41
G0400130421602,21.88,1.37,72.79
G0400130112401,5.29,3.64,90.32
G0400130216819,87.63,5.35,1.77
G0400130109802,12.54,2.15,82.33
G0400130422215,50.53,12.8,24.89
G0400130104802,81.23,2.62,11.59
G0400130104900,74.26,0.34,22.41
G0400130105102,84.51,1.19,3.9
G0400130115801,8.72,15.32,71.87
G0400190004063,61.53,7.05,24.75
G0400190004065,71.09,1.71,22.63
G0400190004066,48.6,8.55,23.8
G0400190004424,47.14,1.04,37.1
G0400130107102,9.17,6.06,65.06
G0400130107201,44.57,4.46,46.07
G0400130107500,81.63,1.69,8.93
G0400130107700,72.21,5.3,12.28
G0400130107800,88.95,0.64,9.32
G0400130111100,76.54,10.24,11.85
G0400130111201,57.32,10.79,24.28
G0400130111202,32.43,13.07,50.39
G0400130116713,74.71,5.82,9.46
G0400130116714,72.47,5.79,8.81
G0400130116715,73.79,5.74,13.32
G0400130116717,49.4,19.41,17.37
G0400130116718,51.47,19.62,19.04
G0400130116719,70.09,3.3,9.27
G0400130116720,44.98,14.46,25.34
G0400130216809,81.41,0.25,3.72
G0400130216810,84.77,0.72,3.31
G0400170940100,2.63,0.34,1.29
G0400170960600,22.66,1.26,34.43
G0400170960200,37.01,7.32,29.22
G0400170960400,32.14,3.34,26.51
G0400130216822,90.97,0.46,2.13
G0400190004644,67.95,0.43,29.61
G0400190004645,61.58,0.86,29.19
G0400190004646,61.19,2.48,31.63
G0400130319300,44.71,4.77,38.6
G0400130319401,61.17,19.2,13.58
G0400130319402,70.9,1.65,20.44
G0400130420104,80.67,0.0,14.44
G0400130420105,80.62,2.49,13.58
G0400130218100,63.41,0.0,24.73
G0400130115400,8.31,9.88,81.22
G0400130040502,80.83,0.16,10.92
G0400130104202,60.52,2.68,30.04
G0400070000900,24.52,0.42,69.92
G0400070940400,1.82,0.0,5.98
G0400130104207,74.78,1.35,18.15
G0400130107300,12.69,14.06,62.43
G0400130109703,16.54,3.14,72.43
G0400130420901,42.24,9.86,28.83
G0400130071600,48.69,2.31,44.2
G0400130216806,79.72,1.9,7.71
G0400130109200,12.87,9.34,64.54
G0400130106900,25.57,0.23,65.71
G0400130104216,69.74,2.39,19.22
G0400130319907,71.43,0.82,14.67
G0400130112504,9.22,6.6,80.5
G0400130421601,40.25,2.72,55.32
G0400130420902,67.8,1.36,28.36
G0400130421101,38.06,3.38,50.19
G0400130105701,39.81,0.43,45.65
G0400130104000,44.87,5.13,33.53
G0400130092306,62.41,3.27,24.23
G0400130071802,88.44,4.19,2.94
G0400130941200,2.53,0.0,16.68
G0400210001500,20.39,1.54,73.37
G0400210001600,38.82,2.77,54.52
G0400210000400,29.58,0.0,65.16
G0400150951900,69.46,0.0,22.06
G0400150952600,68.04,0.0,28.93
G0400070000302,95.27,0.27,3.31
G0400030000700,6.82,0.1,92.52
G0400030001000,79.87,1.82,12.37
G0400030001200,58.94,0.19,39.7
G0400030000400,82.48,0.0,16.71
G0400030000600,17.7,1.94,75.29
G0400030001900,66.41,4.47,16.58
G0400030002100,76.26,0.9,21.5
