GISJOIN,undergrad_pct
G0400130116620,33.2
G0400130116618,25.53
G0400130113301,2.04
G0400130113204,25.79
G0400130113503,7.31
G0400130422659,38.98
G0400130116728,72.45
G0400130420202,30.32
G0400130420207,51.73
G0400130420208,27.64
G0400130420209,34.73
G0400030000101,11.79
G0400030000102,38.76
G0400030000305,32.7
G0400030000501,29.34
G0400270011602,5.08
G0400130103210,51.84
G0400130103211,46.94
G0400130103212,57.85
G0400130103214,59.75
G0400130103215,58.82
G0400130105101,78.18
G0400130103615,14.51
G0400130103900,26.85
G0400130103609,30.36
G0400130104100,22.38
G0400130093105,3.8
G0400130040516,22.96
G0400130050609,21.78
G0400130061401,2.42
G0400130422660,39.71
G0400150953602,24.96
G0400150950401,11.56
G0400150952001,24.16
G0400150952003,9.08
G0400030000304,36.87
G0400030001301,46.96
G0400030000502,25.0
G0400130105200,34.86
G0400130105300,46.78
G0400130108100,57.02
G0400130110001,0.73
G0400130112301,4.63
G0400130112402,6.45
G0400130061100,36.71
G0400130061200,7.35
G0400130040528,43.37
G0400130050604,20.2
G0400130061014,28.4
G0400130061029,31.03
G0400130061036,44.54
G0400130082017,23.58
G0400130082205,12.6
G0400130104401,12.12
G0400130105503,36.86
G0400130109702,2.43
G0400130109801,5.49
G0400150940501,27.53
G0400150951401,19.84
G0400150950705,7.76
G0400030001302,29.52
G0400130040506,31.71
G0400130040507,18.04
G0400130082010,20.58
G0400130103207,52.49
G0400130061300,9.35
G0400130071503,28.18
G0400130104600,31.04
G0400190002202,25.75
G0400190004723,73.21
G0400190001303,13.09
G0400190004069,24.75
G0400130109704,4.53
G0400130109705,7.6
G0400130109900,9.45
G0400130106801,9.42
G0400130109101,10.21
G0400130216836,61.2
G0400130420213,38.89
G0400130421002,21.68
G0400130010102,55.35
G0400130030402,49.64
G0400130106001,8.03
G0400130108302,64.91
G0400130040515,30.78
G0400150951501,7.63
G0400150953800,10.0
G0400130420602,34.76
G0400130420603,48.71
G0400010970502,17.15
G0400010970501,32.83
G0400010945002,8.64
G0400010945001,33.48
G0400130421201,34.77
G0400130103208,62.16
G0400130103209,74.47
G0400130116729,80.14
G0400130318800,48.42
G0400130319101,45.36
G0400130318900,49.61
G0400130319403,40.73
G0400190004070,28.21
G0400190001304,26.23
G0400130216813,92.23
G0400130216816,74.37
G0400130216826,61.77
G0400130216902,56.01
G0400130217001,68.17
G0400130217101,63.01
G0400130420110,43.43
G0400130082018,17.9
G0400130616500,31.81
G0400130618000,37.58
G0400130618700,18.42
G0400130810200,44.6
G0400130810700,39.0
G0400130116730,64.29
G0400130420704,27.96
G0400130420705,63.03
G0400130420706,47.12
G0400130420800,31.19
G0400130422609,30.36
G0400130422307,35.0
G0400130422308,46.57
G0400130422309,57.14
G0400130422401,36.48
G0400130422402,35.75
G0400190004081,51.36
G0400190000502,53.9
G0400190004080,61.8
G0400190004122,13.9
G0400130071504,14.05
G0400190004072,50.4
G0400190004071,30.91
G0400130071505,18.97
G0400120020101,6.65
G0400120020503,0.0
G0400120020102,100.0
G0400130111203,40.71
G0400130116733,0.0
G0400130817200,34.76
G0400130616300,32.83
G0400130723306,30.0
G0400130422403,34.21
G0400130422304,37.75
G0400130422305,61.24
G0400130422404,50.55
G0400130422503,23.75
G0400130422504,31.55
G0400130422506,45.33
G0400130422507,55.06
G0400130422508,54.07
G0400130422509,48.43
G0400190004648,42.33
G0400190004078,32.78
G0400190004076,28.01
G0400130111204,40.67
G0400130111300,47.42
G0400130111402,30.3
G0400130980700,0.0
G0400130217102,62.75
G0400130217201,72.47
G0400190001801,37.93
G0400190001802,43.6
G0400190002703,58.27
G0400130817600,38.7
G0400130723305,10.44
G0400130610100,51.89
G0400130422510,53.42
G0400130422511,41.76
G0400130422512,39.28
G0400130422514,31.72
G0400230966302,28.97
G0400230966301,23.79
G0400190004126,47.07
G0400190003601,22.28
G0400190003202,45.74
G0400190003104,37.31
G0400190000401,54.49
G0400190941100,7.23
G0400190980100,0.0
G0400130319404,44.85
G0400190002905,45.06
G0400250001300,14.13
G0400250000802,37.13
G0400190004720,79.54
G0400130610500,39.27
G0400130610600,52.74
G0400230966103,32.41
G0400130940700,0.0
G0400130422607,12.85
G0400130422001,5.63
G0400130422002,13.06
G0400130319500,56.06
G0400130420210,31.23
G0400130420211,40.92
G0400190000402,66.58
G0400190004132,36.85
G0400190004127,46.75
G0400190004075,21.0
G0400190004077,38.51
G0400190004434,17.44
G0400190004724,65.17
G0400190941000,6.39
G0400190004619,58.23
G0400190004715,22.24
G0400130216843,76.27
G0400130610800,59.92
G0400130216849,83.6
G0400130111900,57.21
G0400130422615,33.3
G0400130422617,40.82
G0400130422618,41.24
G0400130523002,17.31
G0400130523005,39.2
G0400050001301,40.83
G0400050001302,41.93
G0400190980300,0.0
G0400190003506,17.21
G0400190003505,7.39
G0400190004730,79.6
G0400190004039,30.97
G0400190004052,56.65
G0400190004026,53.48
G0400190004033,12.86
G0400190004061,36.55
G0400190004109,41.78
G0400190004311,21.06
G0400130613100,64.86
G0400130420113,13.29
G0400130617100,48.37
G0400130723304,26.51
G0400130723307,49.83
G0400130813600,75.26
G0400130422634,24.1
G0400050001101,64.86
G0400190004068,44.24
G0400120020505,8.33
G0400120020504,100.0
G0400150952701,5.69
G0400190004336,61.71
G0400190004128,37.35
G0400190003103,22.35
G0400190003201,53.66
G0400190004082,35.74
G0400190004328,47.78
G0400190004633,42.66
G0400130815800,46.78
G0400130816600,42.87
G0400130522903,11.69
G0400130614700,34.68
G0400130614800,31.96
G0400130615400,49.73
G0400130111800,77.13
G0400130112201,5.14
G0400130112202,8.75
G0400130116203,32.96
G0400150951702,11.06
G0400150951701,1.85
G0400190004333,16.14
G0400190004511,24.31
G0400190004725,62.89
G0400190004130,58.82
G0400190004133,33.47
G0400190004131,24.79
G0400190980200,0.0
G0400190004433,64.89
G0400190004639,41.44
G0400190004713,68.0
G0400190004721,54.93
G0400190940800,6.12
G0400130116204,14.71
G0400130116205,20.19
G0400130116300,17.27
G0400130116400,14.59
G0400130116703,40.34
G0400130318400,30.84
G0400130318700,65.4
G0400130104204,28.21
G0400130104205,14.67
G0400150953901,54.63
G0400150955001,4.6
G0400150953405,6.75
G0400150952007,23.41
G0400190002507,25.19
G0400130420212,36.75
G0400130420301,44.96
G0400130420302,48.4
G0400130420303,35.86
G0400130420304,55.59
G0400270011116,11.65
G0400270011506,30.79
G0400130050619,29.98
G0400130050612,19.16
G0400130422227,33.29
G0400130815602,39.98
G0400130816301,39.74
G0400130319002,80.86
G0400130812802,66.05
G0400130812801,62.15
G0400190004079,58.48
G0400190004727,56.48
G0400190000501,65.12
G0400190004339,25.18
G0400190004515,32.3
G0400190004514,7.19
G0400130980100,0.0
G0400130093001,10.36
G0400130611300,53.35
G0400130092717,9.97
G0400130040534,76.85
G0400130061051,28.84
G0400130216856,66.8
G0400130082213,19.29
G0400130216857,47.08
G0400130107401,51.72
G0400130107402,6.75
G0400130815902,58.86
G0400130815901,57.83
G0400130610301,49.7
G0400130319801,42.97
G0400130319802,33.48
G0400130816501,64.82
G0400130816402,46.82
G0400130816401,34.66
G0400130112519,0.0
G0400190004435,25.17
G0400190004335,50.02
G0400190004432,36.01
G0400190002508,11.84
G0400190004340,28.0
G0400130117100,50.1
G0400130117300,4.36
