,GISJOIN,pct_subprime,average_income,weight
197,G0100430964700,0.16943866943866934,57.67775467775468,962
198,G0100430964800,0.2007722007722007,62.38223938223938,777
199,G0100430964900,0.16279069767441856,73.89572393098274,1333
200,G0100430965000,0.1478260869565217,64.0695652173913,1150
201,G0100430965100,0.19451697127937334,54.36814621409922,766
202,G0100430965200,0.20814479638009042,58.497737556561084,442
203,G0100430965300,0.235645933014354,52.27751196172249,836
204,G0100430965400,0.23046092184368738,46.06746826987308,1497
205,G0100430965500,0.19726421886249096,65.5565154787617,1389
206,G0100430965600,0.14774114774114772,109.54212454212454,819
207,G0100430965700,0.17965023847376785,63.90620031796502,629
208,G0100450020100,0.15879828326180256,60.58369098712446,466
209,G0100450020200,0.21084337349397586,57.25903614457831,166
210,G0100450020300,0.14403292181069957,61.84362139917695,243
211,G0100450020400,0.11503067484662573,70.63957055214723,652
212,G0100450020500,0.13291139240506328,62.24894514767932,474
213,G0100450020700,0.1481481481481481,53.026666666666664,675
214,G0100450020800,0.13365681517423902,54.36744596382885,2267
215,G0100450020900,0.024999999999999998,46.125,40
216,G0100450021000,0.0,97.33333333333333,3
217,G0100450021101,0.10452586206896547,65.6896551724138,928
218,G0100450021102,0.10156249999999997,63.283203125,1024
219,G0100450021200,0.12257100149476827,58.19880418535127,669
220,G0100450021300,0.11495535714285711,63.37053571428572,896
221,G0100450021400,0.14450867052023117,58.03468208092485,865
222,G0100470996100,0.14970930232558138,59.38226744186046,1376
223,G0100470996200,0.12955032119914342,56.09100642398287,934
224,G0100470996300,0.15580110497237565,48.107182320441986,905
225,G0100470996400,0.14403292181069954,37.47325102880659,243
226,G0100470996500,0.15259740259740256,38.72402597402598,308
227,G0100470996600,0.14265536723163835,51.871468926553675,708
228,G0100470996700,0.148036253776435,61.041289023162136,993
229,G0100470996800,0.1736694677871148,73.32773109243698,357
230,G0100470996900,0.11780104712041885,50.518324607329845,382
231,G0100470997000,0.11678832116788318,56.153284671532845,137
232,G0100470997100,0.15822784810126575,40.27215189873418,158
233,G0100470997200,0.11515151515151513,32.666666666666664,165
234,G0100470997300,0.12175648702594809,44.275449101796404,501
235,G0100490960100,0.17352941176470588,54.82254901960784,1020
236,G0100490960200,0.14065180102915947,47.305317324185246,583
237,G0100490960300,0.14747039827771793,55.42195909580194,929
238,G0100490960400,0.12588832487309642,52.377664974619286,985
239,G0100490960500,0.16073781291172592,50.98287220026351,759
240,G0100490960600,0.24749498997995986,47.692384769539075,998
241,G0100490960700,0.19298245614035084,49.62183235867447,1026
242,G0100490960800,0.23784722222222218,45.192708333333336,576
243,G0100490960900,0.177730192719486,45.603854389721626,467
244,G0100490961000,0.16216216216216212,50.74054054054054,740
245,G0100490961100,0.11422413793103443,59.81896551724138,464
246,G0100490961200,0.08414872798434439,102.82778864970645,511
247,G0100490961300,0.12214765100671135,60.748993288590604,745
248,G0100490961400,0.12965186074429771,76.56182472989195,833
249,G0100510030100,0.12815437902028692,62.249381494309745,2021
250,G0100510030200,0.12189616252821668,65.83295711060948,1329
251,G0100510030300,0.07227022780832676,168.5058915946583,1273
252,G0100510030400,0.1072916666666666,57.73385416666667,1920
253,G0100510030500,0.1272166538164996,60.38319198149576,1297
254,G0100510030600,0.09687123947051741,62.47713598074609,1662
255,G0100510030700,0.08396759145592925,79.73164743432359,4073
256,G0100510030800,0.11977030352748153,51.95816242821985,1219
257,G0100510030900,0.1057949479940564,65.00594353640416,3365
258,G0100510031000,0.09237328280435807,71.19706300331596,2111
259,G0100510031100,0.10655235762400485,62.62339252908757,1633
260,G0100510031200,0.1331592689295039,64.20104438642298,383
261,G0100510031300,0.1602150537634408,57.78924731182796,930
262,G0100530969800,0.19963031423290198,45.02772643253235,1082
263,G0100530969900,0.17572254335260112,50.60578034682081,865
264,G0100530970100,0.17276995305164317,68.66666666666667,1065
265,G0100530970200,0.21232876712328766,52.332191780821915,292
266,G0100530970300,0.18923933209647492,50.24860853432282,539
267,G0100530970400,0.19428571428571426,45.722857142857144,350
268,G0100530970500,0.17136659436008675,54.35140997830803,922
269,G0100530970600,0.19584055459272096,41.741767764298096,577
270,G0100530970700,0.16409036860879903,52.63733650416171,841
271,G0100550000200,0.16780821917808214,49.351027397260275,584
272,G0100550000300,0.1617250673854447,50.21832884097035,371
273,G0100550000400,0.143389199255121,58.059590316573555,1074
274,G0100550000500,0.2413793103448276,41.20062695924765,319
275,G0100550000600,0.19856459330143536,39.70095693779904,418
276,G0100550000700,0.2857142857142857,40.957142857142856,140
277,G0100550000800,0.19254658385093162,43.16770186335404,161
278,G0100550000900,0.20936639118457293,42.641873278236915,363
279,G0100550001000,0.18245614035087715,51.36842105263158,285
280,G0100550001100,0.08333333333333329,109.28115942028985,1380
281,G0100550001200,0.1966205837173579,65.20276497695852,651
282,G0100550001300,0.21465968586387435,48.03664921465968,382
283,G0100550001400,0.19496855345911945,59.257861635220124,159
284,G0100550001500,0.23275862068965517,45.314655172413794,232
285,G0100550001600,0.20378151260504196,50.57247899159664,952
286,G0100550001700,0.2420382165605095,45.732484076433124,314
287,G0100550010100,0.1698630136986301,46.58082191780822,365
288,G0100550010200,0.19630010277492288,47.03391572456321,973
289,G0100550010300,0.14750957854406122,53.72222222222222,522
290,G0100550010400,0.10856886496186624,70.49439210408255,2229
291,G0100550010501,0.1180602006688963,72.03545150501672,2990
292,G0100550010502,0.13662790697674418,62.89098837209303,1376
293,G0100550010600,0.12272515165655618,59.121791880541295,2143
294,G0100550010700,0.13544018058690743,57.542889390519186,886
295,G0100550010800,0.1487455197132616,55.043010752688176,558
296,G0100550010900,0.18100890207715128,57.53412462908012,337
297,G0100550011000,0.17480241748024172,55.784751278475134,2151
298,G0100550011100,0.17903415783274435,50.062426383981155,849
299,G0100570020000,0.1513513513513513,54.372972972972974,185
300,G0100570020100,0.13333333333333328,57.55353535353535,495
301,G0100570020200,0.18699186991869915,56.16260162601626,615
302,G0100570020300,0.17383820998278826,46.07917383820999,581
303,G0100570020400,0.18066157760814242,51.091603053435115,393
304,G0100590972900,0.22937293729372932,53.81848184818482,606
305,G0100590973000,0.2604712041884817,54.545811518324605,764
306,G0100590973100,0.2321428571428571,58.03035714285714,560
307,G0100590973200,0.22359396433470508,53.491083676268865,729
308,G0100590973300,0.2991452991452991,48.826210826210826,351
309,G0100590973400,0.2332361516034985,49.16909620991254,343
310,G0100590973500,0.18749999999999994,54.446875,320
311,G0100590973600,0.31120331950207464,51.178423236514526,241
312,G0100590973700,0.285551763367463,50.43799772468714,879
313,G0100610050100,0.2825581395348837,49.95813953488372,860
314,G0100610050200,0.2,57.81791044776119,335
315,G0100610050300,0.2426829268292683,56.985365853658536,820
316,G0100610050400,0.15317073170731704,49.73756097560975,1025
317,G0100610050500,0.1454272863568216,50.689655172413794,667
318,G0100610050600,0.16983523447401774,54.447401774397974,789
319,G0100630060000,0.2777777777777778,54.833333333333336,108
320,G0100630060100,0.20584498094027948,51.26048284625159,787
321,G0100630060200,0.1639784946236559,55.704301075268816,372
322,G0100650040000,0.13240740740740736,53.89351851851852,1080
323,G0100650040100,0.19333333333333327,57.9,300
324,G0100650040200,0.32978723404255317,58.95390070921986,282
325,G0100650040300,0.2920353982300885,42.924778761061944,226
326,G0100650040400,0.25596816976127323,48.37135278514589,754
327,G0100650040500,0.20472440944881884,55.69291338582677,254
328,G0100670030100,0.25378787878787873,49.40151515151515,264
329,G0100670030200,0.2159763313609467,48.273668639053255,676
330,G0100670030300,0.21582733812949637,84.38848920863309,695
331,G0100670030400,0.18863636363636357,54.74090909090909,440
332,G0100670030500,0.151155527795128,63.442223610243595,1601
333,G0100670030600,0.160427807486631,56.50802139037433,187
334,G0100690040100,0.13591549295774646,75.20211267605634,1420
335,G0100690040201,0.08295414770738532,95.8666433321666,2857
336,G0100690040202,0.09412265758091991,94.08688245315162,2348
337,G0100690040300,0.14113389626055486,59.65018094089264,1658
338,G0100690040400,0.10704607046070459,102.09485094850949,738
339,G0100690040500,0.1051428571428571,76.91314285714286,875
340,G0100690040600,0.15151515151515146,44.40530303030303,264
341,G0100690040700,0.1608391608391608,55.15559440559441,572
342,G0100690040800,0.10912453760789143,67.46300863131935,1622
343,G0100690040900,0.13297150610583441,54.88602442333786,1474
344,G0100690041000,0.17044500419815273,59.130142737195634,1191
345,G0100690041100,0.17977528089887634,50.68789013732834,801
346,G0100690041200,0.15634218289085539,55.817109144542776,339
347,G0100690041400,0.16310975609756095,47.542682926829265,656
348,G0100690041500,0.18892185954500493,54.29376854599406,1011
349,G0100690041600,0.16469428007889544,55.19428007889547,1014
350,G0100690041700,0.21538461538461534,52.41230769230769,325
351,G0100690041800,0.17676767676767674,49.59848484848485,396
352,G0100690041900,0.15063520871143368,60.44162129461585,1653
353,G0100690042000,0.1810883140053523,57.334522747546835,1121
354,G0100690042100,0.14254505734571268,55.90442381212452,1831
355,G0100710950100,0.21037037037037032,56.43703703703704,1350
356,G0100710950200,0.18373983739837396,54.734959349593495,615
357,G0100710950300,0.17100792751981878,50.067950169875424,883
358,G0100710950400,0.13960113960113957,50.806267806267805,351
359,G0100710950500,0.11708860759493671,52.48892405063291,632
360,G0100710950600,0.17248255234297105,48.016949152542374,1003
361,G0100710950700,0.12187958883994122,63.27900146842878,681
362,G0100710950800,0.1306901615271659,52.7503671071953,681
363,G0100710950900,0.11755607115235882,78.53750966744006,1293
364,G0100710951000,0.15384615384615383,51.6957264957265,585
365,G0100710951100,0.13372093023255807,58.877906976744185,1032
366,G0100730000100,0.18954248366013068,59.436720142602496,1683
367,G0100730000300,0.16767676767676765,47.82020202020202,495
368,G0100730000400,0.2197891321978913,51.49878345498784,1233
369,G0100730000500,0.1895652173913043,42.603478260869565,575
370,G0100730000700,0.1700680272108843,38.085034013605444,294
371,G0100730000800,0.19581958195819577,41.679867986798676,909
372,G0100730001100,0.18554587391081498,47.89441312147616,1951
373,G0100730001200,0.22564102564102564,43.203418803418806,585
374,G0100730001400,0.19681908548707747,43.8727634194831,503
375,G0100730001500,0.18882978723404248,45.023936170212764,376
376,G0100730001600,0.1578947368421052,45.03059975520196,817
377,G0100730001902,0.2257575757575757,60.122727272727275,660
378,G0100730002000,0.21792763157894732,60.97286184210526,1216
379,G0100730002100,0.1840255591054313,51.752076677316296,1565
380,G0100730002200,0.20888888888888885,55.32533333333333,1125
381,G0100730002303,0.1839863713798977,52.05962521294719,587
382,G0100730002305,0.09775840597758402,64.37422166874222,1606
383,G0100730002306,0.08379501385041549,76.09279778393352,1444
384,G0100730002400,0.13043478260869562,81.32347826086956,575
385,G0100730002700,0.04893617021276591,124.37872340425533,470
386,G0100730002900,0.1587301587301587,48.5015873015873,315
387,G0100730003001,0.21673819742489264,55.0343347639485,932
388,G0100730003002,0.20675105485232062,51.34177215189873,474
389,G0100730003100,0.22133119486768238,54.6383319967923,1247
390,G0100730003200,0.21794871794871795,54.98717948717949,234
391,G0100730003300,0.14229249011857706,49.24505928853755,253
392,G0100730003400,0.22144846796657378,51.76462395543175,718
393,G0100730003500,0.18390804597701146,47.68326947637293,783
394,G0100730003600,0.19699106723084156,47.06299952985425,2127
395,G0100730003700,0.21801242236024845,49.54347826086956,1610
396,G0100730003802,0.21338432122370932,47.15869980879541,2615
397,G0100730003803,0.22066666666666662,45.88066666666667,1500
398,G0100730003900,0.17159763313609463,50.585798816568044,338
399,G0100730004000,0.20992366412213734,54.45547073791349,786
400,G0100730004200,0.20121951219512188,49.764227642276424,492
401,G0100730004500,0.042372881355932174,104.66101694915254,118
402,G0100730004701,0.0659203980099502,110.05099502487562,804
403,G0100730004702,0.045548654244306354,121.25465838509318,966
404,G0100730004800,0.030973451327433583,188.87831858407077,452
405,G0100730004900,0.0895196506550218,90.57860262008734,916
406,G0100730005000,0.09655172413793099,77.6551724137931,725
407,G0100730005101,0.3181818181818182,56.60909090909091,110
408,G0100730005102,0.17556071152358854,51.39907192575406,1293
409,G0100730005200,0.1963864886095836,52.13040062843676,1273
410,G0100730005302,0.1634730538922155,60.91676646706587,1670
411,G0100730005500,0.18378378378378374,46.3027027027027,370
412,G0100730005600,0.06721698113207542,78.57606132075472,1696
413,G0100730005701,0.1915760869565217,45.14402173913044,736
414,G0100730005702,0.2296786389413988,43.226843100189036,1058
415,G0100730005800,0.0802469135802469,89.54938271604938,324
416,G0100730005903,0.170335429769392,56.024633123689725,1908
417,G0100730005905,0.19505803070011232,47.81767128416323,2671
418,G0100730005906,0.17634357005758153,60.424424184261035,4168
419,G0100730005907,0.1822070145423439,57.51924721984602,1169
420,G0100730005908,0.18158347676419964,48.28055077452668,1162
421,G0100730010001,0.17885638297872342,49.7313829787234,1504
422,G0100730010002,0.15781710914454278,53.64601769911504,2034
423,G0100730010100,0.2371794871794871,39.01602564102564,312
424,G0100730010200,0.19271623672230653,44.57207890743551,659
425,G0100730010301,0.21366459627329193,43.56770186335404,805
426,G0100730010302,0.20103092783505147,41.94329896907217,776
427,G0100730010401,0.2233644859813084,46.3,1070
428,G0100730010402,0.18296892980437282,58.71461449942463,869
429,G0100730010500,0.19512195121951215,43.09756097560975,492
430,G0100730010602,0.18427370948379349,49.50840336134454,1666
431,G0100730010603,0.18266253869969035,54.02579979360165,969
432,G0100730010701,0.055137844611528784,90.29824561403508,399
433,G0100730010702,0.061959654178674294,110.44956772334294,1388
434,G0100730010703,0.04208998548621185,153.39477503628447,689
435,G0100730010704,0.08239095315024231,98.60420032310178,619
436,G0100730010705,0.036666666666666625,98.75,1500
437,G0100730010706,0.07381889763779523,71.51574803149606,1016
438,G0100730010801,0.028423772609819084,173.3326873385013,1548
439,G0100730010802,0.033766233766233715,242.11428571428573,770
440,G0100730010803,0.12774070543374638,88.37559580552907,2098
441,G0100730010804,0.04857819905213264,185.16469194312796,844
442,G0100730010805,0.06992687385740397,119.1782449725777,2188
443,G0100730010900,0.2091577162238553,58.84171848501978,1769
444,G0100730011000,0.13708046906591181,63.97250303275374,2473
445,G0100730011103,0.12415033986405431,71.52558976409436,5002
446,G0100730011104,0.14923747276688448,59.81786492374728,4590
447,G0100730011106,0.07994486560992416,90.15230875258442,2902
448,G0100730011107,0.08703296703296697,81.33428571428571,4550
449,G0100730011205,0.12916111850865508,63.826897470039945,751
450,G0100730011206,0.11191047162270182,68.42565947242207,2502
451,G0100730011207,0.18565217391304342,56.40347826086956,2300
452,G0100730011208,0.14842105263157893,60.98947368421052,1900
453,G0100730011209,0.19580983078162767,54.85334407735697,1241
454,G0100730011210,0.1582799634034766,52.77950594693504,1093
455,G0100730011300,0.12402310567448176,67.03329935440027,2943
456,G0100730011400,0.13556701030927829,56.758762886597935,1940
457,G0100730011500,0.13961407491486943,62.433598183881955,1762
458,G0100730011600,0.10127591706539071,68.7639553429027,1254
459,G0100730011703,0.10451531417745497,66.45626776128829,3167
460,G0100730011704,0.1061643835616438,72.32876712328768,1460
461,G0100730011705,0.13664122137404575,66.89083969465649,2620
462,G0100730011706,0.11915535444947205,57.58521870286576,663
463,G0100730011802,0.1896072986909956,53.86156287187624,2521
464,G0100730011803,0.18790496760259173,50.97149028077754,2315
465,G0100730011804,0.19179304192685098,58.86440677966102,1121
466,G0100730011901,0.14778325123152705,52.21346469622332,609
467,G0100730011902,0.1677503250975292,58.7555266579974,769
468,G0100730011903,0.144927536231884,50.39613526570049,207
469,G0100730012001,0.17564402810304447,58.48770491803279,1708
470,G0100730012002,0.13781788351107457,53.49343724364233,2438
471,G0100730012103,0.17937701396348013,51.96885069817401,1862
472,G0100730012104,0.17983367983367982,54.770270270270274,962
473,G0100730012200,0.15184678522571818,57.4500683994528,731
474,G0100730012302,0.14036697247706417,54.97889908256881,1090
475,G0100730012303,0.18074477747502268,63.38760217983651,4404
476,G0100730012401,0.1729957805907173,63.7837552742616,1896
477,G0100730012402,0.1820895522388059,49.92388059701493,1340
478,G0100730012403,0.19098856758574312,54.82716879623403,1487
479,G0100730012500,0.18586179507545667,46.24463860206513,1259
480,G0100730012602,0.14109742441209402,56.12541993281075,893
481,G0100730012701,0.1401985111662531,79.95533498759305,806
482,G0100730012702,0.04800872885979264,165.74631751227497,1833
483,G0100730012801,0.06526104417670676,92.80722891566265,1992
484,G0100730012901,0.05089169204001735,97.6372335798173,2299
485,G0100730012903,0.04710144927536228,139.86513687600643,2484
486,G0100730012905,0.04744852282900622,155.6025067144136,1117
487,G0100730012906,0.05368360936607649,98.34266133637921,1751
488,G0100730012907,0.08431876606683801,73.18303341902313,1945
489,G0100730012908,0.10109890109890107,61.22637362637363,910
490,G0100730012909,0.07956989247311823,68.36989247311828,465
491,G0100730013002,0.19675925925925922,44.094907407407405,432
